Date,Open,High,Low,Close,Adj Close,Volume,%(close),AVE %
1/1/2007,54.23,54.759998,53.450001,54.639999,39.33474,727800,-0.01738653,-0.0060875
1/2/2007,54.77,55.720001,53.459999,53.689999,38.650837,397600,-0.000558745,
1/3/2007,52.900002,54.549999,51.900002,53.66,38.629242,361000,0.044353354,
1/4/2007,53.75,56.299999,53.48,56.040001,40.479282,309500,0.024803693,
1/5/2007,55.849998,57.529999,55.73,57.43,41.483315,259200,-0.019327877,
1/6/2007,57.619999,57.799999,55.959999,56.32,40.681557,166700,-0.025213033,
1/7/2007,56.759998,58.389999,54.900002,54.900002,39.789944,324500,0.022950782,
1/8/2007,54.939999,57.240002,52.75,56.16,40.703156,597200,0.0304487,
1/9/2007,56,58.540001,54.849998,57.869999,41.942513,352900,-0.003283204,
1/10/2007,58.18,59.16,55.990002,57.68,41.9617,699500,-0.020284362,
1/11/2007,56.900002,56.959999,53.799999,56.509998,41.110535,492300,-0.009909698,
1/12/2007,56.389999,58.02,55.200001,55.950001,40.703136,400200,-0.052725665,
1/1/2008,56.509998,56.509998,49.810001,53,38.75172,2846600,-0.015471698,
1/2/2008,53.490002,54.360001,51.540001,52.18,38.152176,910600,0.016098122,
1/3/2008,52.290001,54.849998,50,53.02,38.766346,1143100,0.025650717,
1/4/2008,54.25,56.200001,52.779999,54.380001,39.923866,702800,0.00331004,
1/5/2008,54.419998,55.98,53.68,54.560001,40.056019,829800,-0.083577729,
1/6/2008,54.59,54.98,49.860001,50,36.708225,1212200,0.01059998,
1/7/2008,49.66,51.360001,48.290001,50.529999,37.299488,1846700,0.020779795,
1/8/2008,50.75,52.66,50.119999,51.580002,38.074562,1129700,-0.072314925,
1/9/2008,51.939999,56,46.200001,47.849998,35.321198,1667500,-0.141065837,
1/10/2008,47.470001,47.650002,35.540001,41.099998,30.506775,6435300,-0.025547422,
1/11/2008,41.119999,42.470001,34.099998,40.049999,29.727406,4872100,0.002247191,
1/12/2008,39.290001,40.849998,37,40.139999,29.794205,6720400,-0.076233111,
1/1/2009,40.32,41.43,36.43,37.080002,27.703295,9719600,-0.105178042,
1/2/2009,36.529999,38.720001,33.119999,33.18,24.789509,6993100,0.062085654,
1/3/2009,31.959999,36.459999,30.290001,35.240002,26.328588,6665800,0.072928458,
