Date,Open,High,Low,Close,Adj Close,Volume,%(close),AVE %
1/2/2003,87.669998,90.540001,87.309998,90.470001,46.55423,5212300,-0.017353808,0.001432366
1/3/2003,90,91.360001,86.050003,88.900002,45.906891,7915500,0.006186670,
1/4/2003,88.400002,89.519997,85.919998,89.449997,46.365181,4628500,0.057574077,
1/5/2003,89.199997,96.209999,88.199997,94.599998,49.243965,12486700,-0.022198711,
1/6/2003,93.879997,97.660004,91.550003,92.5,48.406784,12939300,-0.103243276,
1/7/2003,92.150002,92.489998,82.230003,82.949997,43.592503,26275000,0.008438879,
1/8/2003,82.099998,84.790001,80.910004,83.650002,44.128834,27897800,0.054632384,
1/9/2003,83.629997,88.25,81.879997,88.220001,46.752659,19228900,-0.034345942,
1/10/2003,87.5,87.93,82.75,85.190002,45.348644,18245600,-0.000704367,
1/11/2003,84.559998,86.93,83.050003,85.129997,45.505943,10015900,0.003758957,
1/12/2003,84.400002,87.339996,83.800003,85.449997,45.864361,12636200,0.018607420,
1/1/2004,85.089996,88.900002,83.900002,87.040001,47.168072,16415600,0.018612167,
1/2/2004,86.449997,88.779999,86.239998,88.660004,48.045998,12248800,0.010038337,
1/3/2004,88.459999,91.480003,87.110001,89.550003,48.728714,25301200,-0.065996692,
1/4/2004,88.980003,89.059998,83.010002,83.639999,45.696281,26199600,-0.006456253,
1/5/2004,83.099998,83.900002,80.510002,83.099998,45.578384,29857600,0.006618580,
1/6/2004,82.370003,83.75,80.760002,83.650002,46.059017,15253000,0.011237226,
1/7/2004,83.349998,85.57,82.93,84.589996,46.757755,17658300,0.037593110,
1/8/2004,84.5,88,84.32,87.769997,48.711189,14912400,0.005468873,
1/9/2004,87.699997,89.949997,86,88.25,49.169407,23791200,0.013484442,
1/10/2004,87.5,90.089996,86.739998,89.440002,50.031918,20229400,-0.027951699,
1/11/2004,88.75,89.199997,86.629997,86.940002,48.833233,20623600,0.018518530,
1/12/2004,86.699997,90.25,86.010002,88.550003,49.941906,29844400,0.035686007,
1/1/2005,88.18,91.75,87.809998,91.709999,52.133938,20556700,-0.018427674,
1/2/2005,91.440002,94.239998,89.889999,90.019997,51.173233,25188900,-0.007664908,
1/3/2005,89.540001,90.989998,87.529999,89.330002,50.972767,29225700,0.034814731,
1/4/2005,89.529999,92.940002,88.339996,92.440002,52.91309,28357000,0.027693617,
1/5/2005,92.150002,95.050003,90.809998,95,54.580101,24961400,0.017894705,
1/6/2005,95.199997,97,93.330002,96.699997,55.75584,34411000,-0.037125089,
1/7/2005,96.040001,96.260002,92.68,93.110001,53.883827,24913800,0.030931124,
1/8/2005,92.5,96,91.279999,95.989998,55.741879,23225100,-0.039483291,
1/9/2005,95.309998,95.739998,91.879997,92.199997,53.740105,20877500,-0.026247268,
1/10/2005,91.790001,92.199997,89.120003,89.779999,52.512299,21279000,0.002450446,
1/11/2005,89.43,91.139999,87.860001,90,52.848518,21592300,0.021111133,
1/12/2005,90,92.589996,88.849998,91.900002,54.203918,16166800,-0.013384156,
1/1/2006,91.589996,92.769997,90.050003,90.669998,53.934383,13527200,0.007499724,
1/2/2006,90.150002,91.449997,89.720001,91.349998,54.338856,12050900,-0.049042092,
1/3/2006,90.769997,90.870003,86.589996,86.870003,51.857578,22213500,-0.031196027,
1/4/2006,86.18,86.900002,83.650002,84.160004,50.416367,30736400,-0.005822314,
1/5/2006,83.669998,85.150002,82.559998,83.669998,50.312847,29055100,0.007768639,
1/6/2006,83.400002,85.940002,83.120003,84.32,50.903263,26614100,0.017670754,
1/7/2006,83.900002,85.889999,82.949997,85.809998,52.009148,15925200,0.026453840,
1/8/2006,85.32,88.199997,85.040001,88.080002,53.592861,19087800,0.015099932,
1/9/2006,87.620003,90.309998,86.720001,89.410004,54.619804,26393300,0.004473705,
1/10/2006,89.099998,89.870003,86.879997,89.809998,55.083012,22926000,0.019151554,
1/11/2006,89.610001,91.629997,88.300003,91.529999,56.361088,21135600,-0.033868666,
1/12/2006,91.279999,91.800003,88.059998,88.43,54.662243,18919500,-0.009951340,
1/1/2007,89.220001,89.650002,86.599998,87.550003,54.505405,21003400,0.029697303,
1/2/2007,87.650002,91.260002,87,90.150002,56.124062,20229400,-0.020743239,
1/3/2007,90.279999,90.540001,88.220001,88.279999,55.183643,24454200,0.005323981,
1/4/2007,88.110001,88.82,87.010002,88.75,55.689281,15038400,-0.026704259,
1/5/2007,88.580002,89.010002,85.830002,86.379997,54.403076,15664600,-0.014007861,
1/6/2007,85.900002,86.839996,82.199997,85.169998,53.837582,87736400,0.029235717,
1/7/2007,84.809998,87.75,83.279999,87.660004,55.629211,38655800,0.013917328,
1/8/2007,87.260002,89.199997,85.720001,88.879997,56.620121,44919500,-0.001800135,
1/9/2007,88.830002,91.269997,87.099998,88.720001,56.738956,47634600,0.014202006,
1/10/2007,88.690002,91.389999,87.400002,89.980003,57.780094,34181000,0.048899687,
1/11/2007,89.959999,96.360001,89.959999,94.379997,60.84206,33128500,-0.014197881,
1/12/2007,94.760002,95.099998,90.279999,93.040001,60.242012,33690100,0.020958695,
1/1/2008,93.25,98.160004,93.199997,94.989998,61.998825,70529400,-0.008000790,
1/2/2008,95,95.610001,90.559998,94.230003,61.502754,66254100,0.017616427,
1/3/2008,93.669998,97.75,91.5,95.889999,62.803757,70280300,-0.028991532,
1/4/2008,94.809998,95.919998,91.410004,93.110001,61.209023,54145500,-0.030394179,
1/5/2008,93.440002,93.650002,89.139999,90.279999,59.600998,51100300,0.022817867,
1/6/2008,89.980003,92.82,88.589996,92.339996,61.181747,59488100,-0.007255772,
1/7/2008,92.690002,93.760002,89.75,91.669998,60.958618,68362400,0.023671845,
1/8/2008,90.970001,94.410004,89.82,93.839996,62.626766,43175300,0.011082705,
1/9/2008,92.980003,100.860001,92.599998,94.879997,63.551003,78005300,-0.021606187,
1/10/2008,96.040001,99.940002,92.650002,92.830002,62.404057,39840900,0.138855960,
1/11/2008,92.720001,105.970001,92.349998,105.720001,71.287048,32786200,0.128925434,
1/12/2008,107.75,123.150002,107.129997,119.349998,80.799866,60333500,-0.130707987,
1/1/2009,120.050003,120.449997,103.440002,103.75,70.711388,62576200,-0.018024125,
1/2/2009,104.019997,106.68,101.059998,101.879997,69.436874,54645100,0.037593268,
1/3/2009,102.220001,108.07,100.389999,105.709999,72.245728,70899900,-0.072178574,
1/4/2009,106.120003,106.559998,97.389999,98.080002,67.217232,39945000,-0.039865456,
