Date,Open,High,Low,Close,Adj Close,Volume,%(close),AVE %
1/1/2011,46.139999,47.580002,42.779999,43.619999,37.250584,2224400,0.033929368,0.005519319
1/2/2011,43.919998,47.459999,42.939999,45.099998,38.514469,1816600,-0.04567621,
1/3/2011,44.540001,45.419998,38.459999,43.040001,36.75528,1564650,0.041821537,
1/4/2011,43.400002,45.580002,42.560001,44.84,38.292439,808700,-0.074041035,
1/5/2011,45.360001,45.360001,39,41.52,35.457222,930050,-0.050096363,
1/6/2011,41.599998,41.599998,36.900002,39.439999,33.680946,699250,0.002028423,
1/7/2011,39.380001,41.900002,38.5,39.52,33.749268,540400,-0.093117409,
1/8/2011,40.619999,41.119999,30.5,35.84,30.606619,801300,-0.247767885,
1/9/2011,36.040001,36.139999,26.940001,26.959999,23.023285,434450,0.170623152,
1/10/2011,26.58,33.419998,24.4,31.559999,26.951591,316000,-0.004435963,
1/11/2011,30.059999,33,28.34,31.42,26.832037,341850,-0.087842139,
1/12/2011,31.120001,31.42,27.799999,28.66,24.475052,458600,0.160502373,
1/1/2012,29.34,33.459999,29.139999,33.259998,28.438511,205400,0.005411937,
1/2/2012,33.32,34.900002,32.799999,33.439999,28.592421,257600,0.000598086,
1/3/2012,33.720001,34.139999,31.440001,33.459999,28.60952,225950,-0.049013719,
1/4/2012,33.400002,34,30.639999,31.82,27.20726,261500,-0.139534915,
1/5/2012,31.639999,32,26.620001,27.379999,23.410898,280450,0.087655299,
1/6/2012,26.799999,30.379999,25.92,29.780001,25.462988,286150,-0.075218265,
1/7/2012,30.1,30.74,27.02,27.540001,23.547707,225350,0.057371095,
1/8/2012,27.860001,30,26.940001,29.120001,24.898661,351000,0.061126337,
1/9/2012,28.799999,32.700001,28.700001,30.9,26.420628,249200,-0.074433657,
1/10/2012,31.16,31.540001,28.24,28.6,24.454042,205650,0.004195769,
1/11/2012,28.540001,29.74,27.18,28.719999,24.556646,212300,0,
1/12/2012,28.52,29.299999,27.02,28.719999,24.556646,195750,0.02715881,
1/1/2013,29.24,30.08,29.18,29.5,25.847292,214900,-0.016271186,
1/2/2013,29.48,29.92,28.02,29.02,25.426729,180800,-0.05789111,
1/3/2013,28.6,29.200001,27.18,27.34,23.954744,192850,-0.064374543,
1/4/2013,27.5,27.5,24.52,25.58,22.412666,206200,-0.017200977,
1/5/2013,24.9,26.280001,24.6,25.139999,22.027147,270700,-0.097851993,
1/6/2013,25.219999,25.219999,22,22.68,19.871746,212600,0.018518519,
1/7/2013,22.799999,24.700001,22.379999,23.1,20.239744,180950,-0.010389567,
1/8/2013,23,24.08,22.219999,22.860001,20.029459,207550,0.169728733,
1/9/2013,23.280001,27.280001,23.280001,26.74,23.429035,232150,-0.02916982,
1/10/2013,26.860001,27.440001,25.959999,25.959999,22.745617,287350,-0.020801195,
1/11/2013,25.940001,26.280001,24.799999,25.42,22.272482,319750,0.023603462,
1/12/2013,25.48,26.059999,24.98,26.02,22.798185,233700,-0.049192929,
1/1/2014,25.76,26.9,24.52,24.74,21.747427,213500,0.126111601,
1/2/2014,24.6,28.360001,24,27.860001,24.490032,569450,-0.019382663,
1/3/2014,27.940001,28.84,26.02,27.32,24.015348,964700,-0.041727672,
1/4/2014,27.4,27.82,25.780001,26.18,23.013243,241100,0.018334607,
1/5/2014,26.280001,26.940001,25.4,26.66,23.435183,263500,0.020255101,
1/6/2014,26.620001,27.700001,26.440001,27.200001,23.909863,240150,-0.007352978,
1/7/2014,27.200001,28.52,26.799999,27,23.734055,278100,0.016296333,
1/8/2014,27.02,27.98,26.5,27.440001,24.120832,145550,-0.09329453,
1/9/2014,27.5,27.82,24.5,24.879999,21.870489,411100,-0.030546545,
1/10/2014,24.76,24.98,22.58,24.120001,21.202423,261900,-0.009121102,
1/11/2014,24.059999,24.68,23.58,23.9,21.009035,100300,-0.068619247,
1/12/2014,23.76,23.76,21.799999,22.26,19.56741,205400,-0.016172507,
1/1/2015,22.440001,22.82,21.76,21.9,19.453135,152550,0.087671233,
1/2/2015,22.08,24,21.959999,23.82,21.158613,102750,-0.052896767,
1/3/2015,23.84,24.18,22.16,22.559999,20.039392,121100,0.111702177,
1/4/2015,22.76,25.299999,22.620001,25.08,22.277836,261150,-0.003189793,
1/5/2015,25.219999,25.860001,24.959999,25,22.206776,400900,-0.07839996,
1/6/2015,24.799999,25.120001,22.84,23.040001,20.465763,306000,-0.105034718,
1/7/2015,23.32,23.32,20.059999,20.620001,18.316147,206900,-0.088263914,
1/8/2015,20.5,20.68,14.64,18.799999,16.699492,233950,-0.011702075,
1/9/2015,18.440001,19.200001,17.84,18.58,16.504072,146200,0.115177557,
1/10/2015,18.620001,21.42,18.24,20.719999,18.40497,219600,-0.0217181,
1/11/2015,20.74,21.299999,19.969999,20.27,18.005251,390650,-0.008880118,
1/12/2015,20.41,20.530001,18.41,20.09,17.845366,615000,-0.101543106,
