Date,Open,High,Low,Close,Adj Close,Volume,%(close),AVE %
1/1/2009,86.699997,97.5,65.099998,72.5,53.930515,980080,-0.262068966,0.007784997
1/2/2009,70.699997,78.5,52.5,53.5,39.797001,487470,0.297196299,
1/3/2009,52.5,75.599998,46.5,69.400002,51.624519,848590,0.185878972,
1/4/2009,68.400002,84.800003,67.199997,82.300003,61.220428,1087040,0.178614781,
1/5/2009,83.099998,100.900002,81,97,72.155304,1175590,-0.016494825,
1/6/2009,102.5,116.699997,89.5,95.400002,70.965118,1979600,0.035639423,
1/7/2009,97.300003,107.300003,81,98.800003,73.494278,919830,-0.137651878,
1/8/2009,101,103,84.199997,85.199997,63.377655,729620,0.15845071,
1/9/2009,83.400002,107.699997,79.099998,98.699997,73.419884,967860,-0.1458966,
1/10/2009,97.199997,101.800003,83.5,84.300003,62.708164,967670,0.102016592,
1/11/2009,83.5,95,81.199997,92.900002,69.105453,470600,0.103336898,
1/12/2009,94.699997,104.400002,94.400002,102.5,76.246582,582360,-0.144390273,
1/1/2010,103.5,114.699997,86.699997,87.699997,65.237328,1259970,-0.115165329,
1/2/2010,89,92.599998,75.5,77.599998,57.724251,756360,0.103092786,
1/3/2010,79.199997,86,77,85.599998,63.675201,1083040,-0.014018645,
1/4/2010,86.199997,91.199997,81.099998,84.400002,62.782555,956550,-0.210900516,
1/5/2010,85.199997,86,61.099998,66.599998,49.541687,1193450,-0.031531502,
1/6/2010,65.300003,75,60.200001,64.5,47.979565,747130,0.181395302,
1/7/2010,65.5,82.400002,64,76.199997,56.682819,1189550,-0.043307023,
1/8/2010,77.300003,84.5,68.5,72.900002,54.228062,1083970,0.181069899,
1/9/2010,74.5,86.699997,74.400002,86.099998,64.047127,847340,-0.023228804,
1/10/2010,87,93.400002,82.099998,84.099998,62.559399,1769960,-0.185493441,
1/11/2010,85.5,89.5,68.300003,68.5,50.955032,1774790,0.065693431,
1/12/2010,70.699997,76.400002,70,73,54.302452,841050,0.090410932,
1/1/2011,73.699997,84,73.300003,79.599998,59.444,1140920,0.031407036,
1/2/2011,80.699997,91.599998,80.099998,82.099998,61.310963,1352490,0.071863607,
1/3/2011,82.099998,88.300003,73.099998,88,65.716988,2759350,0,
1/4/2011,88.900002,89,79.599998,88,65.716988,1635050,-0.148863614,
1/5/2011,88,88.099998,69,74.900002,55.934116,1239140,-0.050734364,
1/6/2011,73.800003,74.300003,65.199997,71.099998,53.096348,872330,-0.095639876,
1/7/2011,71,72.599998,63.200001,64.300003,48.018208,583440,-0.150855436,
1/8/2011,66,66.699997,48.200001,54.599998,40.774403,1066330,-0.408424905,
1/9/2011,54.200001,54.200001,32.200001,32.299999,24.121119,1167810,0.083591365,
1/10/2011,31.700001,38.599998,28.4,35,26.137438,1109440,-0.122857114,
1/11/2011,33.099998,36,27.299999,30.700001,22.926266,815240,-0.195439733,
1/12/2011,30.4,31.5,24.200001,24.700001,18.445564,743410,0.226720558,
1/1/2012,25.700001,32.900002,25.5,30.299999,24.478819,1577600,-0.045874556,
1/2/2012,31.4,38.700001,28.870001,28.91,23.355864,3317530,-0.139398167,
1/3/2012,29.01,29.01,24.440001,24.879999,20.100094,2538400,-0.109726652,
1/4/2012,24.75,24.75,21.75,22.15,17.894581,1641400,-0.206320542,
1/5/2012,23.01,23.540001,17.049999,17.58,14.202559,1668000,0.043230944,
1/6/2012,17.040001,19.42,16.58,18.34,14.816554,1174700,-0.165757906,
1/7/2012,18.42,19.139999,15.11,15.3,12.36059,936200,0.092156797,
1/8/2012,15.63,18.4,15.17,16.709999,13.499704,756500,0.00299228,
1/9/2012,16.610001,18.549999,16.049999,16.76,13.540101,1123300,-0.124701671,
1/10/2012,16.85,17.030001,14.6,14.67,11.851625,675000,-0.024539877,
1/11/2012,14.8,15.48,12.6,14.31,11.560788,706300,0.092941999,
1/12/2012,14.5,17.66,14.01,15.64,12.63527,1284200,0.145780051,
1/1/2013,16.129999,19.4,16.040001,17.92,15.823259,2486900,0.001674163,
1/2/2013,18.15,21.41,17.51,17.950001,15.849751,3868100,-0.108635147,
1/3/2013,17.780001,18.790001,15.77,16,14.12791,2629300,0.273749938,
1/4/2013,16.09,20.66,15,20.379999,17.995426,4030300,0.222767479,
1/5/2013,20.51,27.870001,19.540001,24.92,22.004219,7174200,-0.046950241,
1/6/2013,24.93,25.959999,21.65,23.75,20.971117,4007000,0.200842105,
1/7/2013,23.92,28.940001,23.6,28.52,25.182999,5602500,-0.047685835,
1/8/2013,28.700001,29.4,25.540001,27.16,23.982124,4011900,0.270618483,
1/9/2013,27.700001,34.959999,27.6,34.509998,30.472136,4399700,0.052158885,
1/10/2013,34.919998,41.16,33.610001,36.310001,32.06152,19582500,0.06334343,
1/11/2013,37.380001,41.900002,36.98,38.610001,34.092411,12207400,-0.088837112,
1/12/2013,38.400002,38.970001,33.110001,35.18,31.06374,8813900,0.11796481,
1/1/2014,35.490002,42.990002,34.849998,39.330002,35.185478,12760700,0.187388727,
1/2/2014,39.650002,47.779999,36.389999,46.700001,41.778839,12675700,-0.0533191,
1/3/2014,45.439999,51.07,41.93,44.209999,39.551228,16284400,-0.075322282,
1/4/2014,44.27,46.200001,37.169998,40.880001,36.57214,13045700,-0.002201566,
1/5/2014,40.59,42.290001,36.599998,40.790001,36.491623,8637200,0.092669745,
1/6/2014,40.990002,44.82,39.09,44.57,39.873291,8543100,-0.11554862,
1/7/2014,44.759998,45,39.09,39.419998,35.265987,5970900,0.10071033,
1/8/2014,38.869999,44.5,37.799999,43.389999,38.817642,4083600,-0.063148123,
1/9/2014,43.450001,46.299999,40.5,40.650002,36.366371,4037200,-0.056580661,
1/10/2014,40.630001,40.630001,32.23,38.349998,34.308739,6801600,-0.068318074,
1/11/2014,38.259998,38.799999,33.810001,35.73,31.964834,4076600,-0.045619983,
1/12/2014,35.32,35.349998,32.259998,34.099998,30.506605,4107100,-0.007917772,
1/1/2015,34.259998,35.049999,31.77,33.830002,30.837614,3517900,0.16760265,
1/2/2015,34.119999,39.939999,34.029999,39.5,36.006077,3896100,0.124810127,
1/3/2015,39.790001,46.139999,39.700001,44.43,40.500004,6483500,0.057843799,
1/4/2015,44.43,50,44.099998,47,42.842682,6263000,-0.095957404,
1/5/2015,46.84,48.560001,41.84,42.490002,38.731606,7379100,-0.076959304,
1/6/2015,42.509998,43.18,38.919998,39.220001,35.750847,4616600,-0.099439085,
1/7/2015,39.580002,39.959999,33.619999,35.32,32.195816,5317700,-0.162797282,
1/8/2015,35,35.98,25.51,29.57,26.954426,5769300,-0.102468684,
1/9/2015,29.049999,31,25.25,26.540001,24.19244,2367300,0.122833379,
1/10/2015,26.690001,32.799999,26.120001,29.799999,27.16408,2491900,-0.10939591,
1/11/2015,29.83,31.129999,25.889999,26.540001,24.19244,2310100,0.154483717,
1/12/2015,26.75,32.98,26.370001,30.639999,27.929779,9956800,-0.177219327,
1/1/2016,30.049999,31.299999,21.5,25.209999,23.339375,4235900,-0.069813489,
1/2/2016,24.959999,25.190001,20,23.450001,21.70997,1952900,-0.033688741,
1/3/2016,23.51,25.200001,21.690001,22.66,20.978592,1979900,0.051191527,
1/4/2016,22.469999,24.879999,21.700001,23.82,22.052515,2215000,-0.075986566,
1/5/2016,23.780001,23.780001,20.75,22.01,20.37682,1831200,-0.047705634,
1/6/2016,22.120001,22.309999,19.02,20.959999,19.404732,2686900,0.021946614,
1/7/2016,21.030001,22.25,20.549999,21.42,19.830603,1314400,-0.023809524,
1/8/2016,21.34,22.450001,20.77,20.91,19.358442,2466900,-0.028694452,
